60d437aa bfb6e3b1 2df8599f cf63c5b4
331f1b95 3f40b398 753cf8df 302d34fe
9fcd45f9 c0f3f1d4 f28919e8 48a2dc7e
0c00386e f1a25328 fa5ed11f 8fa8e495
86c45ce5 8dc84eec d20f7b0d f74b21d7
e68f0504 013ab999 69cd4c12 cb03f9e1
6f876004 fa2067ca 97d5d1f5 4e185627
b8613092 f9e59e6e fb0e48a7 c7c32dc0
94838028 5e141c70 66c1b5d2 e31fbfdb
a9d4311b 10fbdce4 41c025fd 07c0e149
5f98b7d2 7f8f14c0 9ca3f2db 5e05314b
0967deca cfc004c4 0f80b3c6 49f853fa
5f3eeae9 9c9c1582 792322b9 b0d1ff0b
dedbc2de 36f81d79 5e376622 e5115bd7
d185861c 852c9d28 4959e7a0 abdee89a
b521f341 a3a44be1 ef4c80c8 1c4ac979
bd2d34e0 0806bfea 5179dd14 45a10068
45a0579e f189193c 6d1f54cb 9550b28f
0d1fbbbc 62fc4e50 a89fc22f 4a044884
910ce083 ee62f8e5 e864f8e2 c6b71db5
aa934dc0 569e0a01 50c44556 013f8282
cdf9f327 4843bae8 eca7f654 cf4c19a5
eec34501 b9d6a9f1 105dffcb ff7de64c
91570bcc 8714fe52 46c10ab8 72c9a9fe
74555ed0 19469bf9 6aa9ecbd a6c5d766
470fa628 230428cb 54114b44 9d3ced9e
33d36e1e 2400de1a 5f3991b7 d19a23cf
2d7d1192 c316a5d2 5b7730bb 13131b9f
7c490bde 5cd3aff4 1afd91b5 d16d5829
a689d261 8a33b8f7 2e3d0a79 6e03cac6
8ae252a9 c6ee5ed5 97c45d11 05bf1ee9
cdbc446e 45e89b34 2e274775 2aab3a60
bcb35988 df766a9e ca17f18b fc9ce486
d2c62489 36b87c5a 3837e997 7466ae4f
55c3edf2 7b887f22 941a3e6a 71f436b3
2327b81a 0d04dd03 75245ff2 07d54880
e2833b54 b1a2774d 6d423449 866eb281
4af1c7f2 1a8df3c4 9d09c3df 2c57cea8
4c112fb8 3419502b 7fb01611 488b0e0b
ec69bc5b 725d6264 79669f24 c94512cb
cde79980 69806bff 46ee2da2 862585b4
6bbac9a4 70a0df98 d7ed4ec8 66209f32
e6e7f389 76f79e5e 6bd7f3f4 ffc4f9f1
d214146a 4d057ccd 768b5e75 1a215b06
bd95be3c 33da65f0 a9a95fc9 6109ea93
ac20df90 07e6f374 6b517b24 8c11b3a3
fa8c91d5 407a50e1 67c4911c 781060bb
43d1943a 06a0c295 fa84e638 b7d562b7
ff224e1c a972549b 50d0bc97 8de90fe1
19e164a7 5e404621 22a6444e 2fc7060d
da2a5a23 5d44494d fa586b04 de875e54
bdbfb40a 1840e56f 1ad60fb1 523cfd77
e7feb077 08213b30 c17f2d37 2ae9f498
261ff929 a26b022e 19caa788 efe3ef36
53194d4e a0452a7b 69b1516a 6413f25f
c0e58f9d 6c78e46a bfc2a05c f5f56e86
2b61ac17 16116317 ced0f3fa 84dd7fb8
d05dbd83 c878e726 4010ab6f ac2ff80e
434c5ca8 7f278529 a308df0c 444a37a1
253ebe88 348975f9 2aca035f fe8c5f8c
c3212a57 5e11550c 67820b27 74544ca4
cf9c7094 6e569cc3 13878249 5474c95e
34294b7d 9e111e15 8f5dd1a6 1d2982a2
daf95900 6b6daeef 12773566 8d2d3c56
0fc0d6fe a3238285 fa561b48 aa7bc2a9
d6477383 918ad672 fc6ab18e 3039a110
245cbb18 eb1989c6 b81759af 4dfb3f81
ed887013 ffeb7cd2 7ee6e103 0a586277
15e24dad 51951893 a6eb4951 142d0778
ff05d40e 5601516d 74df2896 de3254d4
7e73f8e2 88d6c0ea aed2a6cc 8bfa00db
eb83bcb0 2f071229 ea00e7c5 d126046f
285bd861 4a8e08eb 911f7025 18de97c5
a28eab1b de2d82db 63edd275 c3b6ca98
81aff583 01abe8f4 ac17dcc7 5475fffc
f4d771fd 3f774089 7620f63c ead6733b
58a601c8 94587e39 03c4f04c 5ea69363
2c989cf9 700544c1 bb6bf034 f649d7b2
535be57d f1b2c6d9 61e7597d 5a71b5c6
7ac68015 837bca4e 5be944f4 9d3bfa1b
5a0e7dce 4a43a6f1 ae1356c0 5a17abf9
e0c2e505 f6b346bb 5c8e713c 8de1ccbf
8ffe779f 1ff838ab 6dd6bfa8 1e5a974e
0a02c8f7 b781acef 468663e7 cb7d5532
ea6a8054 834935b9 68166270 3b168437
aa68bf00 ed860920 5a347c1b a7879c0b
fc73802a 5b3a82f0 87952020 473b6ef5
a1334e05 bd9a2f41 efdeeb64 4fa4292a
8cf836c6 eccda17f 93f22e3a 9d91054a
6c2e4f53 91b76926 8ccc4d6d 728e9bfa
5251c16a cc115860 f939c4d9 0cb4c657
b766d19e 905acec4 bd7d4ecb 49d8c9c3
85323430 0b013a5b f2d90b5f 66aaee99
d18010b0 a23df2c6 737bc80f d06d3963
42a007c5 d1c7090e 40979af8 964ea5ed
406548c8 393eef0e 489e9330 59ea697f
e7e52938 e15f466f 398caacd ecfdaa05
2a099be1 6f577025 66f82441 2a799ff9
1f4fee0c 4da43cf0 7c454478 794b7d98
b8ac08f1 b6c8c5a2 c4b6f980 e344d383
c4c5f8b8 234beba9 a801578b c662032c
3b734629 4757fac3 c55706fe 7356d421
1c6e89d1 73f3fb51 7356fd07 b0952596
68d1c09c 18a56e7a 9a5f2d1d 58c49cf6
951b7946 1102aedc 8cf980f4 cf71a7e3
68ac9d95 ebf87d48 b4d41691 47c1dfec
fc6d8cbe 31a00ee0 e8818dd8 585ef68e
77d5efaf 64ef0790 16c2e281 c5aae9c7
c718c4d2 8a5ebd9f dd551b64 c17087c9
4912d0e4 f0435b34 57d81505 c873e4ca
4304a971 6fb665ad f564deb3 4af01f3e
d1a218ce 701cfc25 15bafc0a c55cea96
f8460cb8 0027cf47 a0af1b47 ea02eed9
d30e4ef7 0ff47e86 e7f81e2f ae541fc1
314d1b21 100c56c0 32fe42c3 a1275026
3069cd31 957347dd 4c7da71e e6dacad8
3525c3ee 0d8cfec0 662006cc 70f2befa
82627f46 1a0b2d38 566014eb 18d55463
4ca0c499 9cdddef0 dbd52f59 a5baf87b
2958f2c9 075ff2bd fed15261 0477f9ea
fdce3594 4e86faa2 2f7bf1db 14a27609
ae5fb160 427e50b1 faec3b94 0c89f6c0
fdb298f8 ff8ebc39 ba4abd2d c906bb94
18861d8a 1e4dcf74 40f1ede4 47f940ac
6bd00e3d 663a1363 c68edf71 712afb7c
176331c7 1ebb6387 8cee626c 6011c7aa
89b6a519 e6b49b02 09328637 c9f91944
0431156f 7618fc66 5a6424e1 d3c243bb
43890ad4 c3bcf258 cb7bc0b1 2f394f3c
d76ba791 b35472da 633ef02e c2a02117
87475aeb 8b8e9ab2 61b98544 821d7e0b
4e48b084 0a8d5070 528e9966 67c9edb8
41141750 426253a2 d426ee60 b86ff42d
b7c9cc89 9259e262 dc0a9b2d 9b148d3e
4ce9cd48 835be8d8 8b8883de 26772c3b
9f111efc 6ac8b9c8 e53b1f35 59309341
be6b668b e6bfd24d dfa4658e c7f20a6a
0430ea33 a69e766d 6f245316 46414cdb
b7e933f3 6f846d6a 199e78f0 12b3672d
2ae788ff bc402782 bb0f9b6f 4fbbe963
62b86bac 74a969f9 ca0fb8e2 ee0ce833
c97af9a8 192a0c58 01975b30 4aaacd21
f8d41242 1b229b8b 38714ebc abce0a27
89927031 3a18fff1 1bccf32c aefa5a26
8e57e680 01ef9487 a79800e3 f5ca6cd5
d7431a9a 5741de98 4bf74378 2f65331f
330624e2 268d80c6 e390b583 9510a0d1
cb06b51a 49b7cd5a fadbc321 a251844f
4c1758a9 1e97a8b3 4acb2212 6f27ae7f
8efc1c9f 3cfc41fe cec08919 5ef0121c
ca6f089c 365f1150 00acff3f 258e2b9c
995821b9 f63bf527 12721d91 fa11ed82
9b915c46 5197a51f c75cc79a 5c03993d
8fe8ba44 35cd3044 8c3c088c 149bb079
fffa5be0 6187bdd1 6ad78476 408c74d6
47d65b81 c6e9db79 e5f2c6cf 2a121100
7f9321d7 7b1cae2d ec470a70 c668e1f3
12102e75 e2b50854 172a748c 72b1d189
752a437b f65b951e a7d3126a 2499b9dc
ec90b76f 334ea554 bf058f0a 1e2898a5
248ff458 10532c22 266909c3 b7435e4f
60c50a7e 67f227ad 6c48e92f cef061db
4d4f2fa8 e64d70b2 bc5a0683 fc7a80e3
8a89439d 88527c21 54edf390 b9a868c5
9470a765 78a270d8 2ba2a63a b837f473
68d38eb1 1cc3d0ee caf13656 3a1bc38c
6783a7db 0e75296c 7c5269b9 f8bdcc61
5e5282f8 ceb2af21 8b44ab07 402e6bf6
8977cad2 b9aa8706 8e2fb4a0 142cffa8
82f93185 60bd35a0 a45831ad 356d30d1
9713d663 851359a9 36113006 cf12e0a1
b9d3d365 3658cb17 32aa9c62 893c6401
0a1618cd e154f043 9b96f809 b0f37fb0
ab1cf869 04c34311 9b11f4c0 9d10d0d1
9f1ffcad 24192aa4 b1fa2e2d e401fb72
cff6df8f 5fabd2a1 d3c61a9f fc654cba
b6efe2cf 89520738 2e73b011 ccf616a9
be396392 c09d74a8 8bb7a75c 7ce74c32
0cc6279c fe544f8a a6e4fe48 d1b9f400
28f80000 6d3e8734 a6f25452 218fd70d
8b7b7dc9 dcede1df 1d6d8f0f 11b1d431
981eeb56 19fe0634 6968f32a 0b21e5ff
8982589c c00a6588 d50c0b54 d3a450cc
cdd0fd94 36c4bd29 6704aa4c 4cd15b0f
6e279f49 c730f0c3 735402c7 7bd39634
17aae592 a70420d3 1e55734c 7b26f7f3
f2d26ed8 21db120c 98a5ff9a e65cdac4
b353639c 8f8a8cc8 404bf0a7 28df6ca6
4edb2c86 05069988 6d777c17 53707479
3c98ee2b b35a28ee 52fc33e8 aed615db
60f7e7ed 6f143b70 3b255795 0a9bb7c7
91d7fa9b b73adc1e 68b6b8a2 4c6c6512
3e0c4b10 fce70364 4ea40534 70f31497
dfc0554a 7c0a39fb 6454ae4c 7e49f25c
1de76272 33f337b9 de6b14f7 b604ae7c
cd14c378 36b852a9 3db57617 ea6d0b50
e580c8b4 9e3701d9 85ef2589 906487f6
74fee825 308cc155 3c898aa5 904c45c6
55753a34 0077d112 de573a01 5ee1f1a3
66dfea1f 46583ca7 c4846573 6959a2cb
d56e82e3 c105eeeb 545343ed 814c4c5d
acee0e81 f63b14f6 a172d7e1 26647c9c
1d32aef0 a0adde51 8f9020d3 59d181d1
8e4267b6 441b8d48 2a537b99 e76b2756
54175b1f a6eaed37 0856cc44 05f351fe
2632c114 7a9a35e9 d67488cd e77adc02
5e693b7b 80ce6dbc 3d932d58 8ce45948
159e4156 e439268b f1ac91c0 db1d8280
73fbbde7 9f87452d 90801e23 09c664fc
8dfc1831 77ec0d7c a243416d eaac59fd
94707878 f735f258 287d1271 fbc48663
fcc53cba 23661c0d 9ec76c81 147bfaee
61fed020 23741d17 4f76e6b0 569454b1
0e861983 895dce28 9800811b 468c3ace
593ba52c e79877df 62d8ec69 a1f6dace
72fdcad6 a0915469 2ffde8f1 aab9ad20
9965977f ea9829df 3adb3c6a a51c7324
38d1419b 617a0c21 983c52cd ab0097ca
0f9c88c7 43ac737b df196184 d8557394
82a895e5 b63dddd0 8d14dafb b93cec0f
f578e7f7 a28f61fe f3cf0cb2 f51690a6
3d036aa6 d8467da8 af5f6522 e5016eb7
0e47bcd9 30b19af1 b5a11584 b5620ca9
cbb49c36 dff0520d 68489f30 7df3b6dc
74a8f793 86728d8f e436a541 d6ba8fa9
c97cb442 cff4c41f ce85ffd9 c92586ca
5e10da1f c9761a58 d989c1fd 3e2e089d
711e68c9 1f197e56 e49419d0 bfc3f554
84e026f2 f559036b 47e1cab4 21c74710
9ad2c726 ded36681 2e1127c6 8dc821e9
1cab787d 47fb2c9c 213787ed 284bab25
c07d573d 8801780c bf402923 f46dcdf1
0861e48a 99834f70 3d0b2620 8c9abd48
85cbf972 33c2ffcc 2e91d567 3e402ea0
ad12b07e 5860951f 79ee13c0 8b062462
c0de6740 57a0085e 41fe6721 b74fa9a2
04b36f72 09bdc95f 6aea9640 c804556c
9a04ee7b bd7dc77f 4985b7b8 68b1a389
2680bf68 c7d1a1db ba96c3e3 73f49ade
63196bc2 70e10347 2f5e0659 bc60663b
44a7e5cd 195b7d61 7620f265 b508d4c6
4097fb0c c1db9a37 989a350f ec55d3c3
a306a16b dc9571ac ea328e82 ea5c9efc
994b3e58 f17d779e 44a49b27 ea752337
df1c81a5 35239a47 462bf38b 830a708f
682003d3 376ac8d4 e117b227 d20c96f0
9510c9f3 3779141f a7738df0 4a31e632
673db8a2 e8575151 7b0d64ee cf519853
3dc1a149 33617094 b00300ec 159da38c
109f1fe3 665f3e86 ffafb923 d8cc7a72
5a83ba55 db6772d0 62efbe37 05a8aeb1
adacce61 c170d199 f8a34fef ea4f2043
4e4f4c2e 2e94dff2 7158c39d 44666ae2
05d38b12 46dd51c0 1fe8710c 703cba76
34a0a61e 7418571f d30fe004 0f4c70fe
279db3f2 e91029a0 5a706c2e eef64322
7ea2c1c5 93086cea 3f94963e 15212902
69ec44ce 68a19f49 e2d8769f e944d927
21c5fdbf 7c7eb8cb ae326d50 8be1c465
403d2447 4a133efe d54c8d4b 706e3831
2ecfa296 2808cd72 5d007f9a 802d3952
93764f39 dc0499be 93fda31f bbfb153e
d3671077 7370905d f8e739de 71090289
5c4cf4c6 403ba114 cb3f4d48 0f1eab5a
88024b83 4814f30e 6f368b67 9af0a0ee
ecd8f1eb d0af2b91 97c1162a 24159338
0425bbc6 21d6b687 d1fb3c8f 820bcf59
fcc80902 76d2259d 3e45018c 1405533d
b6f69fa4 4e1a2be3 87c7b1be b8773e9a
d8ca7775 edc92229 4fa6ca31 668ba987
298673a1 0d18d342 65c5e167 bf7814af
4c64f526 0c057994 8d38a7d8 a7234d04
26e4cb1e 78bd57e4 3aa0ca67 34338b3f
b388f0a5 d8bd2884 dcf669c0 9e83579f
b07ca565 0a20cf21 54ef2f2f 8ebeb166
41df07fe 73520dd6 498e20be 191dcb80
19b51c6d 28d98a2f 94d7a5d4 c35579c1
642efc3b d4d07537 c260b442 b885baf1
d088544f 092bec16 9bd26e6c e9fa6bf6
2d2127c7 b027adf6 9b8906bb b079aae2
0bf2790a e67219fe 6eee7cac 8ce3aab7
8db16d4f f3f6c600 9c377111 1a436031
93773acc fa4b443e 6d2656db 26f467b1
2418f915 1fadfb89 b4c56d44 402bf2ac
e0c32e2e 6fcb1262 e9fb81a0 3879db32
e31e62fa 3f3f0094 4df048f5 122a855d
281be35d e9758069 00ed6dc8 91da94ff
af296530 b554a338 002fe618 fa62f734
fabb3a0a cd5421e1 e7e4ba20 e2c7dcd2
b24df38f fdd6c7bd 9ca2cedf a97d5eb6
6755a9aa 9e61d354 a98f9db1 8ce37e05
48e6f379 a50b15b2 2b5bc791 450a11cd
1f5b88d1 94cd1123 6366ca88 156ccb84
0578211a eb96cbbe 1c4e65d8 d025f275
babb1419 34d2c884 2b441666 2063b2db
01f263d9 9977bb54 62bcfe64 a3491b20
384b114c e081d682 e504bf6c 35d0d8bb
f5a4f968 a2f994dd 752fc8de d5ca53a3
21772556 04d2daae e5632da1 24ad2b43
328d2bf5 ccfcb592 bc237e88 9778d88a
e025ea00 763dddde c758a5f5 a85d7b98
8103f39d 4c02ba8f 6dfd211f e54f8077
24b479c8 36e19c46 a29993f7 468245ea
e4570cdb 8db3dc03 67844664 ec106eb4
2cc1cd84 627f3d98 b9cfdd88 b2dcb2ff
bd8312ee c6890b48 b1b940a1 78aa5878
b7d44d64 080b673d 78020e0a c67999bf
f0dee463 cd09f4cd e57db632 61f74f7d
4313df4e 25997ccb 14df678e 7f37391f
9e6b81dc 6100a428 f2199a30 b3a69276
86b1847f bac14300 12bbf8b1 259ab054
a5b29533 0843be6f 7e43f140 fb49e6b0
0da29579 6ee7dfc4 84cc1476 77978d1d
c886a220 27328a7f 8562200d e6cdfaf3
214ba8d7 63fee7b8 bd41e917 2198ad7e
5b01599b ed5f1506 34a9d616 375e8828
8be6fdb0 b4070e93 d2556147 9e482d54
cf8c2a50 a89b34ff 48edd5ed ab2a28ad
a2d28108 a8d012b6 a44e4dc9 aa4fef73
83783d20 6cdbcb05 9cbde19b dfaf4379
857e8435 8180fd58 52687cf4 06f43eef
ef641a4b 89c3b348 205e08a5 1395384a
7f0bc4e7 15edfe97 3330d836 6dac79a5
9929f885 61137cf7 00ba6019 fb5f9657
60725c4b e1186878 748f37c7 989fb22e
6519f53b ea945119 92717ca0 6c94ca87
8e0ffee6 49caed47 b05f6319 b69696f6
248485b0 dfef9445 fb7e1dbb 49747f01
2c2c9f78 6bbb9059 255260f8 109b3f61
abe56717 d9450bff 9295aa42 21c2f89e
fb003969 4b7d6586 b4daf097 f1df8496
7deec2ec 0e9fe252 d69bc708 f3677a2e
8608f0f2 e259d340 a019e07f 16bfe6c1
88bb6fab 1004e3bc 80d3d6ab 2c7e4366
4b934343 819f8e6b 769d340c 9f0a2de0
219cbf93 eb13441f 62a0b13e 0dc245f9
5d287475 a8929ff0 b946cf06 258148fa
fe67922d 94288062 cf2625a3 3d780217
09e21dcb 6b388c0e da022c76 3cc751d2
c288ddc4 956838f2 5bc0bade 0e727c87
9181500d c72ec71c 625250a8 4b63b29c
27abdecc 1a205c94 d565dcb6 230e7451
43902de9 85f7d6ba 01b027c8 30bbaad4
8681d274 c9e40685 e00dfdd2 ab3868b8
ea0b4cce f2930d9c 12fa2d11 b6d8f96b
8482b37e d7069c1e e4c03577 916f9f40
4ab9606a 291381be 66e9987e a91bdb04
a2cc0fcd 97fbb8cc 6861132a 4df6e42d
66fa31d9 10bef22c 9dda2260 3c278dcb
c48c9f0a d4c29528 2ae10d18 aba21a72
ca5176f9 90f62600 c8f665d7 8e117f0f
93d987ab 15a9afe6 662d90f9 755b8299
8a63554b 26b24a67 280ce0f0 c1e272f4
84bd389b ab04c3ec ab3f89ec 6e185f3c
fa70e072 f8943785 4098db82 a85987dc
235d3a09 c3f11ac3 7c6bfdee 1a311c9a
374c3d50 24a74467 faf03bbe c8facd29
21e5049d 3dfd9049 ff43234b a000fdbc
89e8475a 1a170db7 08ccfbba bbbb05b5
b0fc249e 035ba5a2 628eb31f eb573961
e566dd53 e574aa0d 340bced4 77038961
9c95389f 82065b00 489f2e7e 20f14191
68b034c9 94cc0ffd 17e947ee 80981e0c
92aaca4f 5b07405f 603d278e 0665f39e
9f0e798c 75afbce6 e1a1dbce f2e0fcda
e016e1e0 4ab5d87e 18f7189e 7a19c058
b7424600 90d172be f9348c2d e701fb59
aaec312f 950b9f6f 6862ca28 bfdac371
189cf953 204b3075 eb54d4cc 652172aa
067c016f ac11e30e df33c9d5 c0210812
20a21279 10dbab52 5129d2ce 27e20661
9efeb468 2de35997 b361f8eb 82330198
2f2dc430 8ec91858 482653e2 0fe67b2b
55117eb1 537a2256 925e3b68 acc9e45f
5f103606 a91fbd95 65d91f04 fa075177
cfd9b1a9 238a2df9 4bc9491b 632f92ab
27c8d889 ac364549 436a2d5a d1b3bf7e
d6b0a971 faa56d4a 8aac7cc6 8ab91ffa
9ada38f4 7dd34ecb c344132f adb8223f
2515e58f bb738aee eb9e9060 e62a78ef
4e6d332c 904d844a 5506d4a6 a7e83d57
0310134a 704bf5bf db775dcf f2617d77
7acb97a2 2c5376f0 c71f9470 6f68b808
d3d3d613 dc77d2d7 43a1a5a4 0a072215
7820751a 5e087b26 8fbe877e a9cca243
4884bf3f a7d5d887 f0748eac 35c40ed9
a5c8d84b 2f408cb9 b2b27c0f c49f3346
f29cc3ff 791732d3 df10781d d29191a9
a486fe51 38ff01fc e5acf0a4 6358452f
2c0378b4 a1d87f7e 43a2e428 f31a8fbb
9857311f 61eb2373 c5001128 28d2779d
65b8b4e6 16a7d778 03446b6d 1dd1ba7d
2833d1c3 06a3b837 b7c10b16 ac563827
cfa37bc5 1d083c9e 86d34862 ffc2b388
b46fdec5 82726638 c04ebbe1 8aa74003
2b5ba4fa 152657b2 82ef6171 712dcb36
3c5023e4 c9a488af 991aa050 a2582a4e
cc5a4c29 2e3dc2ec 689b1dca 31a344ad
6a82cf13 79921006 c6745276 54c9d3b2
e84f8c91 278fa020 8c8f8f41 f4c6abd4
4f3f7185 ef472df2 f8662bc8 d7bd0886
72877be9 1520026e 3be7d1e4 3e72f4df
a4add062 e5b79f12 e094e8fa 3176fa27
2f3b3e01 86a01c4e 7f2a61e8 afe6d88b
555886f3 5bf5b2ce f693bba1 ed833718
8f0d6bb3 285ac76a c3736c25 9c946163
38804718 f578c7ea 993b3f0e a0db3c55
66c0ac88 83bb8f0d 8db7efd6 d90365a2
ac6aaae6 2d617df7 15db9634 2758ebfd
87c8f939 2bb0d6b4 bdcfb368 ae7d60b7
56222d5e 1168077e e343e6f6 dbbe28f7
77bad402 d1a72535 805b10ac f17dcf1f
912ad1d1 9c17d420 f63c99da 8c0c50de
089e8c91 9813c584 248d1eb8 f17f6591
54ea563c 334b907f 75df370f 5692bf4e
c8afcaf5 82e690ad aec3cd90 a50a7cb9
70270001 63967ae3 724c624a ba1fb189
c286fa92 6acda7f6 0aaee1c2 ac63e8a2
508840a3 b86f83bc 8f7ad9d0 a0311e9c
1190e2e5 2574f521 9a348e3d 56c9bb59
155ac4ed 657bc34d 27aebb05 91fe65a5
d6fd42ac 61b4139d c9473ac6 d8c60ffd
ab8d95db 5343301b d18c9cbe ca494602
282ab214 917d7388 40430970 ada9eb57
7638b734 c7c859cd 9d99139d 2f0dca5a
a55101f5 63410358 d94c3c33 46115474
3e331ae5 56099383 7f21ac23 0bf6eb0e
994b7624 15cebbdf d56c8a6b dce37285
09fd4078 817f3488 885763e2 fd7f9ad3
70b1d8cc 524b3c8e e98f3bdd 3bcd2158
904c285e 64451375 5ee4a2a0 43ed41a2
0c375a34 113ee9cc f5771ac5 da875935
c5dea383 85e128f1 5c6b73f0 5b61f888
50576721 2c7131d4 af0f31c0 06816784
b6bf75a5 046f019a 496bac5e 5a799ded
44dcb7f4 fda012be 3acb147c 35121bb2
b670e28b c85c6f38 5fef593f 53cd4e59
3a8b4938 dc810726 fabe8906 c638462b
016f951b e164cfea f87ce9e9 5e0b9974
c7572281 bfcbadbe 9e3e7113 b6897fde
9f33b2d7 8d192e1e 95bda095 07f4aa3f
52a19ba8 7a18e77b ed4a63e9 b12c54d3
563d12c0 f1212dfc ffc98020 12a47460
38acc838 74ba2adc 0db50537 fc6fc331
da929c43 0fff633c b003d140 ffdcbd54
e37f6aab 9dfed279 f172a437 178437b4
650ac9d3 515a5d7d d3a145df d4442c60
98fab1de d6908e55 35f3c13d fd1027a6
32bbcdf9 de2e3121 ff0b357d c868ee06
94a22232 ad87e0c6 8447cab9 1619c9e3
8ccbc403 e06451a5 6eef4c12 5c6b2bda
4e9f8d9a f57f7338 c32569e5 d5d9caea
8d0127dd 21c9ebea bde6e4bd d545755a
c417eef7 6c05a8fb 6bf07063 ea6d0512
da8a9ca4 c2fd4c03 989c83a4 29f5944d
969b6694 e2554a28 bf58c3bf b66a29ba
cc944011 13f3ca8b f6c9e5e2 ac52d762
5d468814 57b9ac55 a9335f06 4f505cd4
5fd47696 fea05593 6d687a3a 74f2f746
766c725d 5967e725 64e26738 32f8bb6d
b10f5107 ff90bdfc ca3cd4ff a1d22367
e028ee5e 7dd904fa eb285d9d 7f2b8d38
eb079894 af53e3e3 bb69f16a 7a86efba
06906388 a138c143 f6fb153c 62fa8b10
d8a957ff b123e1b4 58dae3a8 eb8bc616
3a380150 d907e686 89e7e862 02e059dc
71652b57 3114a631 6b86959b e072a04a
046ffbb9 0b90c604 a4ab3be3 de1d83cf
7c919568 c603dc52 adac16f6 16ed2e58
90301623 caa3561e 3b6015e1 662f6852
ecdab647 5186c78a 275d76b5 7777f660
e7fd3964 37959925 21fa31a0 891f9ea1
a1822887 9223100a 19056694 76c7d1a9
670a8a3a 59ea83d8 2c5e0297 4b2d8ce8
cb8caeb0 dc1bad70 58b81907 be0cb031
876c9e0c 4fba2c51 ca323f83 edf73371
092fe560 2ceafa3a b1d70da9 5bcc8183
3772f984 94e9e914 aea53163 c5ca5f40
8df6083d c0ffd9e4 c7d5c80a 6a14f9a1
7a9c54d8 efc80038 de585b13 8c9d19b8
d8130aac 53184503 838c87e0 b193545c
c8fdd4e2 9f7ad8ae 408a518b bf407d79
0896be4e a9dc142f f710a642 2eff2417
e4bfd829 a7b8da16 707198fd dbab7bcd
a25ef261 e054d173 d314236e d227f702
18a5671d 42bc8ec6 e4879f61 36909721
0d69eb2e 68322376 1762ea6d df09b9fd
d0f11e51 febe9003 4055fc94 d9d81468
c70e7941 aa93a9b9 03a471a8 10e2e929
615e945d 211f62b2 0dd568a1 310818df
13f0a34d 3a76ed74 7bdd3870 4e740849
085a6719 09367a1e f909c991 f322f4f6
c3ac2aa6 cec3f3a2 7dfbdbcf 7403dcc5
9b8c5fac 713925a1 f6b1892a 75ae28e2
ec1b58f5 377af45d c9620c86 68bc6c64
8f12bba9 62d88a00 685c8228 8c9376ce
138722b2 3c9b2b23 deab285a 3fea8419
0a453191 a7977482 e6fd6b59 049f2e64
0a183b4e 33df4284 859f2a65 e17575a5
8d23f05b 6dcb2929 7b73ca7f e3162e9b
e8b81dcc 974d7b61 24c2e799 d6a0375e
01c0d193 09fc2036 5ed42009 a9fcf332
4bb66b8a fb4b304a 2b973da0 33ed7a27
a09758a3 d679f92c 4889f59a 2360677d
48613340 8b77e50a 0b4bf355 7de83847
d1358129 b389d451 a4af737a b66590d2
a035638e 4516d01a b8e3c19e e9073c72
18a4eef8 16399d8c a51d9a67 e60bfdc4
24dc240b 7a2b6575 e1b8f45f 9fb793a2
f3132870 0aba74bd 8a8206d1 9c99ab0c
2462e6e8 c2206549 f742f819 fb7b62af
d8f8d2ed 3b09d534 6ffd62fd a157db7f
917315bb 40cb46e6 9e838754 607b33cc
7bee5219 0679f68c d5b7a231 fb9c6d85
be726b13 6fbf1fb1 4f57d445 715e0a86
bde9edcf dab8655e 5128cd0c 23c29fd2
083e302b 23a3e5e3 886e55af 10a31451
42e9b6ee 08127397 1e79f755 7792b599
3829ddfb 78dc5a19 54318b22 5d59ef50
c216a4ca e51e2f68 a64d1744 57e59ae6
3ec8bec9 b8175b09 781b4c9a 66fbb231
a82b87cf 10485f8a 5b5cb376 4b3ddf53
e961eb45 39d91938 339af248 85c8b9db
c4dc6633 c95377ee 01ff615b 8853fccb
0af42e4b d2fa166e a1955d5d 5f5c634a
8da78298 6471ba3b 20bdbef1 c786e229
7da32789 6d83eb03 a8868a14 9f3f1735
da9da49b 054df8eb 79f3e167 31171d94
a9108cdd e621e404 aff28191 f6e01352
be59a7b0 4fc68391 7e7aaca1 a4f82edd
96ce8b26 3d177c41 5e52a819 89302c9b
ab756cf1 f58531a9 2c0536f5 89129918
f8b5390d d5d08cd5 c94332e3 ded066d7
3866e298 027222a4 08251518 a04085cd
21eeede5 42f25ab5 2a9d888d dbc23ed6
807a67c9 bd495827 051639ad 10826902
b6e8f8fc 729c6f47 50d81413 d3d68397
d51f6f4b efb0d32f b21718fd ed2bbb8e
00049bcc 926a3fb0 899f45c6 6d043828
db57b42d d487274e 8ad64608 1df64591
cb4abce5 c0de4398 2b1f78bf 70ac23bd
17437415 8766cbd7 a12014f3 8c3b9510
9d3b61fc e8608278 09804dc0 a618ff0a
b765dd78 6f5268c4 1185ef7d 074084b1
f8e77975 19bd95a2 689b2769 2e2c97ee
c362dd07 a0f8ba76 e98fdf0e 59c2ea64
51b5d3df 5ed6c3c3 587bd838 02b3fcef
e38b522f cf0aa431 e7b38249 a1daed84
bbf94479 166d8e6b bb6b57f9 801ed614
1a523fea 7e61e0aa cd3b19e4 aabb8b48
93817d00 363a458f 5c1e1067 ab6768f3
23a3fcab b754b21d a3dceab7 d61128d6
